PDR_Env,Burst_1_over_r,Action_N,Action_G,Success_Rate_URLLC,Expected_Latency,Coding_Rate,Cost,Is_Feasible
0.45,2,31,0,0.999382,19.63037541816227,0.2580645161290322,4.384912541816227,True
0.45,3,36,0,0.99907,19.823827505734183,0.2222222222222222,4.794882750573418,True
0.45,5,43,0,0.999004,19.94588860505063,0.1860465116279069,5.353963860505063,True
0.45,10,46,1,0.999022,24.997712378090387,0.1739130434782608,6.093521237809039,True
0.45,20,56,1,0.998986,25.58435253346893,0.1428571428571428,6.956768586680157,True
0.45,40,62,2,0.999174,31.519806321560065,0.1290322580645161,7.995730632156006,True
0.55,2,28,0,0.999458,18.891530170891087,0.2857142857142857,4.076653017089109,True
0.55,3,32,0,0.998992,18.949638928347454,0.25,4.408297226168092,True
0.55,5,33,1,0.999004,22.925375982170547,0.2424242424242424,4.870662598217054,True
0.55,10,37,2,0.999082,27.08441522394481,0.2162162162162162,5.59906652239448,True
0.55,20,47,2,0.999038,27.70595986415855,0.1702127659574468,6.442470986415856,True
0.55,40,59,2,0.999022,28.914768066245703,0.135593220338983,7.500851806624571,True
0.65,2,24,0,0.99896,18.27134835613654,0.3333333333333333,3.7688015022803873,True
0.65,3,29,0,0.999144,18.3307291811021,0.2758620689655172,4.09869791811021,True
0.65,5,29,1,0.998964,21.666288967678213,0.2758620689655172,4.492253896767881,True
0.65,10,33,2,0.999062,25.17243347336724,0.2424242424242424,5.0953683473367235,True
0.65,20,44,2,0.999164,25.74646173431758,0.1818181818181818,6.012146173431758,True
0.65,40,57,2,0.999056,26.81994033136511,0.1403508771929824,7.135119033136511,True
0.75,2,22,0,0.999344,17.81233315978358,0.3636363636363636,3.499983315978358,True
0.75,3,22,1,0.999414,20.622381253876306,0.3636363636363636,3.7809881253876307,True
0.75,5,26,1,0.999208,20.70688985676656,0.3076923076923077,4.1019389856766555,True
0.75,10,30,2,0.99918,23.68875843576348,0.2666666666666666,4.7126258435763475,True
0.75,20,41,2,0.999154,24.152750534644618,0.1951219512195122,5.618400053464462,True
0.75,40,54,2,0.99896,24.994805944335955,0.1481481481481481,6.784897261100329,True
0.85,2,19,0,0.999108,17.44642586571837,0.4210526315789473,3.229017586571837,True
0.85,3,19,1,0.999444,19.89092050564731,0.4210526315789473,3.473467050564731,True
0.85,5,23,1,0.999226,19.942448532086907,0.3478260869565217,3.7911198532086905,True
0.85,10,26,2,0.999112,22.4894236851555,0.3076923076923077,4.28019236851555,True
0.85,20,37,2,0.999116,22.767576922614985,0.2162162162162162,5.167382692261499,True
0.85,40,51,2,0.99908,23.289377766006268,0.1568627450980392,6.313312776600627,True
0.95,2,13,1,0.9993,19.283375285776977,0.6153846153846154,2.9439625285776976,True
0.95,3,15,1,0.99924,19.291974208090465,0.5333333333333333,3.1010724208090465,True
0.95,5,16,2,0.999338,21.44094275025452,0.5,3.394094275025452,True
0.95,10,21,2,0.998992,21.479043568224466,0.3809523809523809,3.8018626901557933,True
0.95,20,31,2,0.999178,21.568495264645996,0.2580645161290322,4.578724526464599,True
0.95,40,43,2,0.999078,21.71412234387799,0.1860465116279069,5.530787234387799,True
