PDR_Env,Burst_1_over_r,Action_N,Action_G,Success_Rate_URLLC,Expected_Latency,Coding_Rate,Cost,Is_Feasible
0.45,2,81,0,0.99928,31.463703866784076,0.3333333333333333,6.943245386678408,True
0.45,3,91,0,0.99939,32.010225275879826,0.2967032967032967,7.466647527587982,True
0.45,5,102,0,0.99914,32.115861948968416,0.2647058823529412,7.992836194896841,True
0.45,10,119,0,0.99906,32.400687415401244,0.226890756302521,8.818193741540124,True
0.45,20,123,1,0.99897,49.927273168286405,0.2195121951219512,10.8083523168286,True
0.45,40,128,1,0.99323,50.956312698507354,0.2109375,20.71229793651748,True
0.55,2,70,0,0.99899,28.84675445276653,0.3857142857142857,6.182592111943244,True
0.55,3,78,0,0.99921,28.901671743754488,0.3461538461538461,6.546417174375449,True
0.55,5,89,0,0.99921,29.048802400049883,0.3033707865168539,7.076755240004989,True
0.55,10,110,0,0.99902,29.383490051019233,0.2454545454545454,8.094599005101923,True
0.55,20,111,1,0.99903,43.775504547103,0.2432432432432432,9.580675454710299,True
0.55,40,128,1,0.99713,44.955454847720645,0.2109375,13.612212151438792,True
0.65,2,61,0,0.99921,26.70699275504571,0.4426229508196721,5.530074275504571,True
0.65,3,67,0,0.999,26.76656849156849,0.4029850746268656,5.817281849156849,True
0.65,5,80,0,0.99915,26.88219024632476,0.3375,6.438219024632476,True
0.65,10,100,0,0.999,27.16137387387387,0.27,7.403637387387388,True
0.65,20,102,1,0.99899,39.37292819593943,0.2647058823529412,8.735209486260533,True
0.65,40,127,1,0.99868,40.52272846310977,0.2125984251968504,10.538731179644289,True
0.75,2,53,0,0.99907,25.11650065329988,0.5094339622641509,4.996025065329988,True
0.75,3,59,0,0.9991,25.15295977918588,0.4576271186440678,5.280920977918588,True
0.75,5,71,0,0.99918,25.244406182300253,0.380281690140845,5.852565618230026,True
0.75,10,92,0,0.999,25.47417128667129,0.2934782608695652,6.859917128667129,True
0.75,20,92,1,0.99914,36.02070857860837,0.2934782608695652,7.914570857860838,True
0.75,40,125,1,0.99904,36.8624417902725,0.216,9.54561917902725,True
0.85,2,46,0,0.99925,23.89190450530205,0.5869565217391305,4.545440450530204,True
0.85,3,52,0,0.99912,23.923760601637127,0.5192307692307693,4.829876060163713,True
0.85,5,62,0,0.99934,23.974908054700716,0.4354838709677419,5.303740805470071,True
0.85,10,81,0,0.99906,24.12360888465927,0.3333333333333333,6.209235888465927,True
0.85,20,84,1,0.99916,33.30125574713529,0.3214285714285714,7.267625574713529,True
0.85,40,96,2,0.99906,42.663870384315096,0.28125,8.76638703843151,True
0.95,2,40,0,0.99972,22.91917121409379,0.675,4.166917121409378,True
0.95,3,43,0,0.99913,22.92342896011838,0.627906976744186,4.307967896011838,True
0.95,5,50,0,0.9992,22.93733736989592,0.54,4.6374837369895925,True
0.95,10,67,0,0.99914,22.971263940835268,0.4029850746268656,5.437751394083527,True
0.95,20,67,1,0.99897,30.95489123027488,0.4029850746268656,6.2861141230274455,True
0.95,40,78,2,0.9991,39.04016114503053,0.3461538461538461,7.560266114503053,True
