Window_Idx,PDR,Max_Burst
0,0.88,1
1,0.92,1
2,0.91,1
3,0.9,2
4,0.91,4
5,0.92,2
6,0.93,2
7,0.92,3
8,0.88,2
9,0.88,2
10,0.9,1
11,0.97,2
12,0.88,2
13,0.91,2
14,0.83,2
15,0.91,1
16,0.94,2
17,0.96,1
18,0.94,1
19,0.95,1
20,0.91,1
21,0.89,1
22,0.81,2
23,0.95,1
24,0.87,2
25,0.91,1
26,0.91,1
27,0.95,1
28,0.83,2
29,0.93,1
30,0.93,2
31,0.9,3
32,0.87,4
33,0.91,2
34,0.95,2
35,0.83,3
36,0.79,2
37,0.77,2
38,0.77,4
39,0.8,5
40,0.86,5
41,0.92,2
42,0.98,1
43,0.9,1
44,0.85,2
45,0.87,2
46,0.81,3
47,0.81,3
48,0.8,3
49,0.8,3
50,0.84,2
51,0.84,2
52,0.87,3
53,0.76,3
54,0.93,1
55,0.97,1
56,0.95,2
57,0.97,2
58,0.84,2
59,0.8,2
60,0.73,3
61,0.88,2
62,0.88,3
63,0.91,2
64,0.92,1
65,0.94,1
66,0.94,1
67,0.93,1
68,0.97,1
69,0.87,2
70,0.81,3
71,0.92,1
72,0.78,4
73,0.94,1
74,0.98,1
75,0.94,1
76,0.81,2
77,0.9,3
78,0.86,3
79,0.9,1
80,0.83,2
81,0.85,2
82,0.88,2
83,0.85,2
84,0.99,1
85,1.0,0
86,0.97,1
87,0.92,1
88,0.94,2
89,0.9,2
90,0.93,1
91,0.91,1
92,0.91,1
93,0.88,1
94,0.92,1
95,0.88,1
96,0.86,1
97,0.95,1
98,0.96,2
99,0.94,1
100,0.9,2
101,0.77,3
102,0.91,1
103,0.94,2
104,0.91,3
105,0.89,2
106,0.82,5
107,0.87,3
108,0.8,3
109,0.87,2
110,0.88,2
111,0.84,2
112,0.79,2
113,0.82,2
114,0.93,2
115,0.95,1
116,0.87,2
117,0.86,2
118,0.78,4
119,0.86,2
120,0.73,4
121,0.85,3
122,0.84,3
123,0.88,2
124,0.94,2
125,0.8,2
126,0.89,1
127,0.97,1
128,0.9,2
129,0.9,2
130,0.94,2
131,0.86,2
132,0.84,2
133,0.88,3
134,0.84,2
135,0.86,2
136,0.83,2
137,0.83,2
138,0.86,2
139,0.95,1
140,0.97,1
141,0.92,2
142,0.93,2
143,0.72,2
144,0.8,3
145,0.86,2
146,0.74,4
147,0.84,3
148,0.8,3
149,0.85,2
150,0.87,3
151,0.92,1
152,0.93,2
153,0.91,1
154,0.83,3
155,0.82,2
156,0.85,2
157,0.85,3
158,0.77,4
159,0.8,3
160,0.81,3
161,0.85,2
162,0.81,2
163,0.9,1
164,0.94,2
165,0.99,1
166,0.97,1
167,0.85,2
168,0.79,2
169,0.84,2
170,0.79,3
171,0.86,2
172,0.68,6
173,0.81,2
174,0.85,1
175,0.8,3
176,0.93,1
177,0.91,1
178,0.91,1
179,0.84,5
180,0.87,3
181,0.89,4
182,0.91,2
183,0.87,1
184,0.83,2
185,0.87,1
186,0.85,2
187,0.98,1
188,0.91,1
189,0.93,2
190,0.94,1
191,0.95,2
192,0.95,1
193,0.77,2
194,0.98,1
195,0.92,1
196,0.96,1
197,0.9,1
198,0.95,1
199,0.96,2
200,0.95,1
201,0.94,1
202,0.96,1
203,0.98,1
204,0.94,1
205,0.87,2
206,0.93,1
207,0.96,1
208,0.95,1
209,0.92,1
210,0.94,2
211,0.87,2
212,0.94,2
213,0.89,1
214,0.92,2
215,0.92,1
216,0.97,1
217,0.87,3
218,0.96,1
219,0.94,2
220,0.78,2
221,0.84,2
222,1.0,0
223,1.0,0
224,0.87,2
225,0.95,2
226,0.97,2
227,0.97,1
228,0.97,1
229,0.98,1
230,1.0,0
231,0.98,1
232,0.91,1
233,0.96,1
234,0.95,1
235,0.96,1
236,0.84,3
237,0.89,1
238,0.99,1
239,0.98,1
240,0.92,2
241,0.95,1
242,0.99,1
243,0.97,1
244,1.0,0
245,0.94,2
246,0.98,1
247,0.92,2
248,1.0,0
249,0.98,1
250,0.98,1
251,0.95,1
252,0.93,1
253,0.98,1
254,0.96,1
255,0.9,2
256,0.94,1
257,0.91,2
258,0.96,1
259,0.89,2
260,0.84,3
261,0.9,3
262,0.88,2
263,0.85,3
264,0.94,1
265,0.88,3
266,0.9,2
267,0.85,2
268,0.91,1
269,0.87,2
270,0.92,1
271,0.87,2
272,0.89,1
273,0.88,2
274,0.9,2
275,0.96,2
276,0.95,1
277,0.92,1
278,0.9,2
279,0.94,1
280,0.97,2
281,0.98,1
282,0.99,1
283,0.98,1
284,0.92,1
285,0.88,2
286,0.98,1
287,0.96,1
288,0.95,1
289,0.93,1
290,0.96,1
291,0.99,1
292,1.0,0
293,0.92,1
294,0.98,1
295,0.98,1
296,0.94,1
297,0.97,1
298,0.97,1
299,0.94,2
300,0.88,2
301,0.93,1
302,0.91,1
303,1.0,0
304,0.96,1
305,0.95,2
306,0.98,1
307,0.94,1
308,0.95,3
309,0.89,2
310,0.88,2
311,0.84,2
312,0.95,1
313,0.97,1
314,0.93,1
315,0.94,1
316,0.93,1
317,0.94,2
318,0.96,1
319,0.98,1
320,0.98,1
321,0.99,1
322,0.98,1
323,0.95,1
324,0.9,1
325,0.97,1
326,0.95,2
327,0.97,1
328,0.89,1
329,0.92,1
330,0.98,1
331,0.98,2
332,0.88,2
333,0.88,2
334,0.93,1
335,0.97,1
336,0.94,1
337,0.85,2
338,0.92,2
339,0.88,2
340,0.88,2
341,0.94,1
342,0.96,1
343,0.91,1
344,0.86,2
345,0.97,1
346,0.95,1
347,0.94,2
348,0.95,1
349,0.99,1
350,0.82,3
351,0.98,1
352,0.94,2
353,0.91,2
354,0.96,1
355,0.96,1
356,0.96,1
357,0.95,2
358,0.93,2
359,0.97,1
