window_idx,pdr_hat,b_hat,pdr_cell,b_cell,region
0,0.88,1,0.85,2,grid
1,0.92,1,0.85,2,grid
2,0.91,1,0.85,2,grid
3,0.9,2,0.85,2,grid
4,0.91,4,0.85,5,grid
5,0.92,2,0.85,2,grid
6,0.93,2,0.85,2,grid
7,0.92,3,0.85,3,grid
8,0.88,2,0.85,2,grid
9,0.88,2,0.85,2,grid
10,0.9,1,0.85,2,grid
11,0.97,2,0.95,2,grid
12,0.88,2,0.85,2,grid
13,0.91,2,0.85,2,grid
14,0.83,2,0.75,2,grid
15,0.91,1,0.85,2,grid
16,0.94,2,0.85,2,grid
17,0.96,1,0.95,2,grid
18,0.94,1,0.85,2,grid
19,0.95,1,0.95,2,grid
20,0.91,1,0.85,2,grid
21,0.89,1,0.85,2,grid
22,0.81,2,0.75,2,grid
23,0.95,1,0.95,2,grid
24,0.87,2,0.85,2,grid
25,0.91,1,0.85,2,grid
26,0.91,1,0.85,2,grid
27,0.95,1,0.95,2,grid
28,0.83,2,0.75,2,grid
29,0.93,1,0.85,2,grid
30,0.93,2,0.85,2,grid
31,0.9,3,0.85,3,grid
32,0.87,4,0.85,5,grid
33,0.91,2,0.85,2,grid
34,0.95,2,0.95,2,grid
35,0.83,3,0.75,3,grid
36,0.79,2,0.75,2,grid
37,0.77,2,0.75,2,grid
38,0.77,4,0.75,5,grid
39,0.8,5,0.75,5,grid
40,0.86,5,0.85,5,grid
41,0.92,2,0.85,2,grid
42,0.98,1,0.95,2,grid
43,0.9,1,0.85,2,grid
44,0.85,2,0.85,2,grid
45,0.87,2,0.85,2,grid
46,0.81,3,0.75,3,grid
47,0.81,3,0.75,3,grid
48,0.8,3,0.75,3,grid
49,0.8,3,0.75,3,grid
50,0.84,2,0.75,2,grid
51,0.84,2,0.75,2,grid
52,0.87,3,0.85,3,grid
53,0.76,3,0.75,3,grid
54,0.93,1,0.85,2,grid
55,0.97,1,0.95,2,grid
56,0.95,2,0.95,2,grid
57,0.97,2,0.95,2,grid
58,0.84,2,0.75,2,grid
59,0.8,2,0.75,2,grid
60,0.73,3,0.65,3,grid
61,0.88,2,0.85,2,grid
62,0.88,3,0.85,3,grid
63,0.91,2,0.85,2,grid
64,0.92,1,0.85,2,grid
65,0.94,1,0.85,2,grid
66,0.94,1,0.85,2,grid
67,0.93,1,0.85,2,grid
68,0.97,1,0.95,2,grid
69,0.87,2,0.85,2,grid
70,0.81,3,0.75,3,grid
71,0.92,1,0.85,2,grid
72,0.78,4,0.75,5,grid
73,0.94,1,0.85,2,grid
74,0.98,1,0.95,2,grid
75,0.94,1,0.85,2,grid
76,0.81,2,0.75,2,grid
77,0.9,3,0.85,3,grid
78,0.86,3,0.85,3,grid
79,0.9,1,0.85,2,grid
80,0.83,2,0.75,2,grid
81,0.85,2,0.85,2,grid
82,0.88,2,0.85,2,grid
83,0.85,2,0.85,2,grid
84,0.99,1,0.95,2,grid
85,1.0,0,0.95,2,grid
86,0.97,1,0.95,2,grid
87,0.92,1,0.85,2,grid
88,0.94,2,0.85,2,grid
89,0.9,2,0.85,2,grid
90,0.93,1,0.85,2,grid
91,0.91,1,0.85,2,grid
92,0.91,1,0.85,2,grid
93,0.88,1,0.85,2,grid
94,0.92,1,0.85,2,grid
95,0.88,1,0.85,2,grid
96,0.86,1,0.85,2,grid
97,0.95,1,0.95,2,grid
98,0.96,2,0.95,2,grid
99,0.94,1,0.85,2,grid
100,0.9,2,0.85,2,grid
101,0.77,3,0.75,3,grid
102,0.91,1,0.85,2,grid
103,0.94,2,0.85,2,grid
104,0.91,3,0.85,3,grid
105,0.89,2,0.85,2,grid
106,0.82,5,0.75,5,grid
107,0.87,3,0.85,3,grid
108,0.8,3,0.75,3,grid
109,0.87,2,0.85,2,grid
110,0.88,2,0.85,2,grid
111,0.84,2,0.75,2,grid
112,0.79,2,0.75,2,grid
113,0.82,2,0.75,2,grid
114,0.93,2,0.85,2,grid
115,0.95,1,0.95,2,grid
116,0.87,2,0.85,2,grid
117,0.86,2,0.85,2,grid
118,0.78,4,0.75,5,grid
119,0.86,2,0.85,2,grid
120,0.73,4,0.65,5,grid
121,0.85,3,0.85,3,grid
122,0.84,3,0.75,3,grid
123,0.88,2,0.85,2,grid
124,0.94,2,0.85,2,grid
125,0.8,2,0.75,2,grid
126,0.89,1,0.85,2,grid
127,0.97,1,0.95,2,grid
128,0.9,2,0.85,2,grid
129,0.9,2,0.85,2,grid
130,0.94,2,0.85,2,grid
131,0.86,2,0.85,2,grid
132,0.84,2,0.75,2,grid
133,0.88,3,0.85,3,grid
134,0.84,2,0.75,2,grid
135,0.86,2,0.85,2,grid
136,0.83,2,0.75,2,grid
137,0.83,2,0.75,2,grid
138,0.86,2,0.85,2,grid
139,0.95,1,0.95,2,grid
140,0.97,1,0.95,2,grid
141,0.92,2,0.85,2,grid
142,0.93,2,0.85,2,grid
143,0.72,2,0.65,2,grid
144,0.8,3,0.75,3,grid
145,0.86,2,0.85,2,grid
146,0.74,4,0.65,5,grid
147,0.84,3,0.75,3,grid
148,0.8,3,0.75,3,grid
149,0.85,2,0.85,2,grid
150,0.87,3,0.85,3,grid
151,0.92,1,0.85,2,grid
152,0.93,2,0.85,2,grid
153,0.91,1,0.85,2,grid
154,0.83,3,0.75,3,grid
155,0.82,2,0.75,2,grid
156,0.85,2,0.85,2,grid
157,0.85,3,0.85,3,grid
158,0.77,4,0.75,5,grid
159,0.8,3,0.75,3,grid
160,0.81,3,0.75,3,grid
161,0.85,2,0.85,2,grid
162,0.81,2,0.75,2,grid
163,0.9,1,0.85,2,grid
164,0.94,2,0.85,2,grid
165,0.99,1,0.95,2,grid
166,0.97,1,0.95,2,grid
167,0.85,2,0.85,2,grid
168,0.79,2,0.75,2,grid
169,0.84,2,0.75,2,grid
170,0.79,3,0.75,3,grid
171,0.86,2,0.85,2,grid
172,0.68,6,0.65,10,grid
173,0.81,2,0.75,2,grid
174,0.85,1,0.85,2,grid
175,0.8,3,0.75,3,grid
176,0.93,1,0.85,2,grid
177,0.91,1,0.85,2,grid
178,0.91,1,0.85,2,grid
179,0.84,5,0.75,5,grid
180,0.87,3,0.85,3,grid
181,0.89,4,0.85,5,grid
182,0.91,2,0.85,2,grid
183,0.87,1,0.85,2,grid
184,0.83,2,0.75,2,grid
185,0.87,1,0.85,2,grid
186,0.85,2,0.85,2,grid
187,0.98,1,0.95,2,grid
188,0.91,1,0.85,2,grid
189,0.93,2,0.85,2,grid
190,0.94,1,0.85,2,grid
191,0.95,2,0.95,2,grid
192,0.95,1,0.95,2,grid
193,0.77,2,0.75,2,grid
194,0.98,1,0.95,2,grid
195,0.92,1,0.85,2,grid
196,0.96,1,0.95,2,grid
197,0.9,1,0.85,2,grid
198,0.95,1,0.95,2,grid
199,0.96,2,0.95,2,grid
200,0.95,1,0.95,2,grid
201,0.94,1,0.85,2,grid
202,0.96,1,0.95,2,grid
203,0.98,1,0.95,2,grid
204,0.94,1,0.85,2,grid
205,0.87,2,0.85,2,grid
206,0.93,1,0.85,2,grid
207,0.96,1,0.95,2,grid
208,0.95,1,0.95,2,grid
209,0.92,1,0.85,2,grid
210,0.94,2,0.85,2,grid
211,0.87,2,0.85,2,grid
212,0.94,2,0.85,2,grid
213,0.89,1,0.85,2,grid
214,0.92,2,0.85,2,grid
215,0.92,1,0.85,2,grid
216,0.97,1,0.95,2,grid
217,0.87,3,0.85,3,grid
218,0.96,1,0.95,2,grid
219,0.94,2,0.85,2,grid
220,0.78,2,0.75,2,grid
221,0.84,2,0.75,2,grid
222,1.0,0,0.95,2,grid
223,1.0,0,0.95,2,grid
224,0.87,2,0.85,2,grid
225,0.95,2,0.95,2,grid
226,0.97,2,0.95,2,grid
227,0.97,1,0.95,2,grid
228,0.97,1,0.95,2,grid
229,0.98,1,0.95,2,grid
230,1.0,0,0.95,2,grid
231,0.98,1,0.95,2,grid
232,0.91,1,0.85,2,grid
233,0.96,1,0.95,2,grid
234,0.95,1,0.95,2,grid
235,0.96,1,0.95,2,grid
236,0.84,3,0.75,3,grid
237,0.89,1,0.85,2,grid
238,0.99,1,0.95,2,grid
239,0.98,1,0.95,2,grid
240,0.92,2,0.85,2,grid
241,0.95,1,0.95,2,grid
242,0.99,1,0.95,2,grid
243,0.97,1,0.95,2,grid
244,1.0,0,0.95,2,grid
245,0.94,2,0.85,2,grid
246,0.98,1,0.95,2,grid
247,0.92,2,0.85,2,grid
248,1.0,0,0.95,2,grid
249,0.98,1,0.95,2,grid
250,0.98,1,0.95,2,grid
251,0.95,1,0.95,2,grid
252,0.93,1,0.85,2,grid
253,0.98,1,0.95,2,grid
254,0.96,1,0.95,2,grid
255,0.9,2,0.85,2,grid
256,0.94,1,0.85,2,grid
257,0.91,2,0.85,2,grid
258,0.96,1,0.95,2,grid
259,0.89,2,0.85,2,grid
260,0.84,3,0.75,3,grid
261,0.9,3,0.85,3,grid
262,0.88,2,0.85,2,grid
263,0.85,3,0.85,3,grid
264,0.94,1,0.85,2,grid
265,0.88,3,0.85,3,grid
266,0.9,2,0.85,2,grid
267,0.85,2,0.85,2,grid
268,0.91,1,0.85,2,grid
269,0.87,2,0.85,2,grid
270,0.92,1,0.85,2,grid
271,0.87,2,0.85,2,grid
272,0.89,1,0.85,2,grid
273,0.88,2,0.85,2,grid
274,0.9,2,0.85,2,grid
275,0.96,2,0.95,2,grid
276,0.95,1,0.95,2,grid
277,0.92,1,0.85,2,grid
278,0.9,2,0.85,2,grid
279,0.94,1,0.85,2,grid
280,0.97,2,0.95,2,grid
281,0.98,1,0.95,2,grid
282,0.99,1,0.95,2,grid
283,0.98,1,0.95,2,grid
284,0.92,1,0.85,2,grid
285,0.88,2,0.85,2,grid
286,0.98,1,0.95,2,grid
287,0.96,1,0.95,2,grid
288,0.95,1,0.95,2,grid
289,0.93,1,0.85,2,grid
290,0.96,1,0.95,2,grid
291,0.99,1,0.95,2,grid
292,1.0,0,0.95,2,grid
293,0.92,1,0.85,2,grid
294,0.98,1,0.95,2,grid
295,0.98,1,0.95,2,grid
296,0.94,1,0.85,2,grid
297,0.97,1,0.95,2,grid
298,0.97,1,0.95,2,grid
299,0.94,2,0.85,2,grid
300,0.88,2,0.85,2,grid
301,0.93,1,0.85,2,grid
302,0.91,1,0.85,2,grid
303,1.0,0,0.95,2,grid
304,0.96,1,0.95,2,grid
305,0.95,2,0.95,2,grid
306,0.98,1,0.95,2,grid
307,0.94,1,0.85,2,grid
308,0.95,3,0.95,3,grid
309,0.89,2,0.85,2,grid
310,0.88,2,0.85,2,grid
311,0.84,2,0.75,2,grid
312,0.95,1,0.95,2,grid
313,0.97,1,0.95,2,grid
314,0.93,1,0.85,2,grid
315,0.94,1,0.85,2,grid
316,0.93,1,0.85,2,grid
317,0.94,2,0.85,2,grid
318,0.96,1,0.95,2,grid
319,0.98,1,0.95,2,grid
320,0.98,1,0.95,2,grid
321,0.99,1,0.95,2,grid
322,0.98,1,0.95,2,grid
323,0.95,1,0.95,2,grid
324,0.9,1,0.85,2,grid
325,0.97,1,0.95,2,grid
326,0.95,2,0.95,2,grid
327,0.97,1,0.95,2,grid
328,0.89,1,0.85,2,grid
329,0.92,1,0.85,2,grid
330,0.98,1,0.95,2,grid
331,0.98,2,0.95,2,grid
332,0.88,2,0.85,2,grid
333,0.88,2,0.85,2,grid
334,0.93,1,0.85,2,grid
335,0.97,1,0.95,2,grid
336,0.94,1,0.85,2,grid
337,0.85,2,0.85,2,grid
338,0.92,2,0.85,2,grid
339,0.88,2,0.85,2,grid
340,0.88,2,0.85,2,grid
341,0.94,1,0.85,2,grid
342,0.96,1,0.95,2,grid
343,0.91,1,0.85,2,grid
344,0.86,2,0.85,2,grid
345,0.97,1,0.95,2,grid
346,0.95,1,0.95,2,grid
347,0.94,2,0.85,2,grid
348,0.95,1,0.95,2,grid
349,0.99,1,0.95,2,grid
350,0.82,3,0.75,3,grid
351,0.98,1,0.95,2,grid
352,0.94,2,0.85,2,grid
353,0.91,2,0.85,2,grid
354,0.96,1,0.95,2,grid
355,0.96,1,0.95,2,grid
356,0.96,1,0.95,2,grid
357,0.95,2,0.95,2,grid
358,0.93,2,0.85,2,grid
359,0.97,1,0.95,2,grid
360,0.98,1,0.95,2,grid
361,0.98,1,0.95,2,grid
